Título,Precio,Categoría,Fecha de lanzamiento,Descripción
Connect Bricks,"9,98 €*","• Educativo, Estrategia, Puzle, Tablero",09-07-2021,Juego de rompecabezas simple pero muy adictivo!
Bai Qu: Hundreds of Melodies,"9,99 €3,99 €*","• Aventura, Simulación",09-07-2021,"Con la llegada de la primavera, florece una nueva amistad."
Fantasy Cards,"4,99 €*","• Estrategia, Tablero",09-07-2021,Desafía a 3 niveles de IA en este juego de cartas con temática de Fantasía Heroica. Utiliza las habilidades únicas de tus cartas en batallas de ritmo rápido e inflige fuertes golpes a tu enemigo con hechizos y magia para conseguir la victoria.
Shopping Mall Parking Lot,"11,99 €*","• Acción, Carreras, Deportes, Simulación",09-07-2021,"Drive a large, varied selection of awesome cars around an authentic looking shopping mall environment! Show your driving and parking skills, avoid real traffic!"
Dogworld,"12,50 €*","• Acción, Aventura, Plataformas",09-07-2021,"Shoot, jump, and slide your way through a ruined, mysterious, dog-filled world as you fight to save humanity from the clutches of a rogue AI named Daddy."
Connect the Dots,"6,99 €*","• Educativo, Estrategia, Puzle, Tablero",09-07-2021,Ayude a Pierre a conectar los puntos haciendo coincidir puntos del mismo color para hacer su obra maestra de arte. Más de cientos de rompecabezas para jugar. ¿Puedes hacer la obra maestra definitiva?
Ys IX: Monstrum Nox,"59,99 €*","• Acción, Rol (RPG)",09-07-2021,Desata tu maldición y destruye la oscuridad
The Silver Case 2425,"39,99 €*","• Aventura, Puzle, Simulación",09-07-2021,"Mata el pasado, mata la vida"
Heart of the Woods,"16,99 €*",• Aventura,08-07-2021,"When Maddie and her best friend, Tara, journey to a remote forest village to investigate rumors of the supernatural, they find a whole lot more than they bargained for."
Monument,"6,00 €*","• Acción, Acción en primera persona (FPS), Disparos (Shooter)",08-07-2021,Old-school first person shooter.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Crash Drive 3,"16,99 €0,99 €*","• Acción, Arcade, Carreras",08-07-2021,Estas listo para el parque de diversiones de acrobacias de coches multijugador mas divertido? Crash Drive esta devuelta!
ARIA CHRONICLE,"32,75 €*","• Aventura, Estrategia, Rol (RPG)",08-07-2021,I will live on...and strive to restore faith and dignity in this Kingdom.
Infinite Golf 2,"4,99 €*","• Arcade, Aventura, Otros, Plataformas",08-07-2021,
Indigo 7 Quest for love,"14,99 €*","• Fiesta, Puzle, Tablero",08-07-2021,"¡Fácil de aprender, difícil de dominar! Indigo 7 es un juego de rompecabezas multijugador de ritmo rápido para hasta 4 jugadores con un refrescante modo historia para un jugador."
MASAGORO,"10,79 €*",• Aventura,08-07-2021,"""MASAGORO"" es un juego de exploración de tipo terrorífico para un solo jugador, escrito en primera persona."
Boomerang X,"19,99 €*","• Acción, Acción en primera persona (FPS), Arcade, Aventura",08-07-2021,"Domina el poder de un místico bumerán para propulsarte por el aire. Rebana, vuela y arrasa recorriendo arenas plagadas de criaturas malvadas. ¡La agilidad es clave si no quieres sucumbir!"
Beauty Bounce,"4,99 €*",• Aventura,08-07-2021,Una divertida novela visual con múltiples finales para desbloquear.
Woodcutter,"4,99 €*","• Acción, Arcade, Aventura, Plataformas",08-07-2021,"Woodcutter is a classic platformer, tells the story of Woodcutter whose child was kidnapped."
Ruvato : Original Complex,"12,29 €*","• Acción, Aventura, Estrategia, Lucha",08-07-2021,"Stolen Girl, Hidden Truth Play a high-speed, hack and slash, action game on the Nintendo Switch™"
Reverse Memories,"5,99 €*",• Aventura,08-07-2021,"The sky drizzles. Fireworks ignite the sky. Boy meets girl. A summer belongs only to them. The past, once stagnant, is revolving again."
Metro Simulator,"19,99 €*",• Simulación,08-07-2021,Metro Simulator: el simulador de metro realista
Songs for a Hero: Definitive Edition,"17,99 €*","• Acción, Aventura, Música, Plataformas",08-07-2021,Un juego de plataforma clásica con un diferencial: una banda sonora dinámica y letras divertidas que cantan las acciones del jugador y responden a lo que sucede durante la aventura.
Arcade Archives SEA FIGHTER POSEIDON,"6,99 €*","• Acción, Arcade, Disparos (Shooter)",08-07-2021,Ride out on your water scooter and save your friends!
My Maitê,"4,99 €*","• Arcade, Plataformas",08-07-2021,Ama tanto a Maitê que iría a la luna solo para traerla de regreso a la Tierra.
Blitz Breaker,"4,99 €*","• Acción, Puzle",07-07-2021,"¡Salta y lánzate por el aire en tu viaje a la libertad, todo en un adorable estilo pixel art!"
Pictooi,"8,29 €*","• Educativo, Estrategia, Puzle",07-07-2021,A relaxing puzzle challenge for beginners and experts!
Unavowed,"14,99 €*","• Aventura, Puzle, Rol (RPG)",07-07-2021,"Join the ranks of the Unavowed, and fight against the oncoming darkness."
Treachery in Beatdown City,"16,49 €*","• Estrategia, Lucha, Rol (RPG)",07-07-2021,"En Treachery in Beatdown City juegas el rol de 3 héroes únicos utilizando un sistema de combate beat 'em up de RPG totalmente novedoso para enfrentar a hordas de polis depravadas, folloneros, borrachos ruidosos, pijos que van de modernos, joggers ve"
Out of Line,"9,99 €*","• Acción, Aventura, Plataformas, Puzle",07-07-2021,"¡Un juego de aventuras único lleno de hermosos rompecabezas, todos dibujados a mano en un estilo 2D único!"
A Plague Tale: Innocence - Cloud Version,"39,99 €*","• Acción, Aventura",06-07-2021,ESTE JUEGO EMPLEA TECNOLOGÍA DE RETRANSMISIÓN EN LA NUBE. UTILIZA LA VERSIÓN DE PRUEBA GRATUITA ANTES DE COMPRARLO.
My Little Fruit Juice Booth,"3,00 €*","• Arcade, Estrategia, Simulación",05-07-2021,A casual fruit juice shop tycoon game where you make your customers happy by blending different fruits into delicious drinks and serve them to your customers.
Glitchangels,"11,99 €*","• Arcade, Disparos (Shooter)",05-07-2021,"Despliega tu equipo de Glitchangels para reparar 'EL SISTEMA', una subrutina corrupta a la vez."
Rubix Roller,"3,99 €*","• Arcade, Estilo de vida, Fiesta, Puzle",05-07-2021,Rubix Roller - 3D puzzle strategy colour game requires thinking and planning ahead.
Super Archer,"4,99 €*","• Arcade, Deportes, Disparos (Shooter)",04-07-2021,Will you run out of arrows?
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Hope's Farm,"19,99 €0,99 €*","• Educativo, Estilo de vida, Estrategia, Fiesta",03-07-2021,"Grow crops, plant trees, raise adorable animals, and much more! It has never been so fun to take care of a farm."
Mythic Ocean,"14,99 €*","• Aventura, Otros",02-07-2021,Teach the gods to create a better world - or mess it all up!
Epistory - Typing Chronicles,"14,99 €0,99 €*","• Acción, Aventura, Educativo, Puzle",02-07-2021,Epistory is an atmospheric adventure typing game that tells the story of a writer lacking inspiration who asks her muse to help write her latest book.
Foodtruck Arena,"15,99 €*","• Arcade, Carreras, Deportes, Fiesta",02-07-2021,"Foodtruck Arena an unconventional mix of car combat and football game, combines two things that make the world go round: food and sports."
Colossus Mission,"4,99 €*","• Arcade, Aventura, Disparos (Shooter), Simulación",02-07-2021,"Discover secrets of the odd spaceship, who unexpectedly entered Earth orbit."
Super Destronaut DX-2,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",02-07-2021,¡Prepárate para una sobrecarga de nostalgia arcade de los 80!
Kids: Farm Puzzle,"4,99 €0,99 €*","• Educativo, Puzle, Tablero",02-07-2021,¡Diversión y relax con los puzles de siempre!
Best Day Ever,"12,49 €*","• Aventura, Otros",02-07-2021,"Play 4 characters, live their unique stories and manage their daily lives to create their best day ever."
Revolver and Co,"6,49 €*",• Puzle,02-07-2021,"Take control of a revolver that asks trivia questions, and discharges its own ammo the more wrong your answers are!"
El camino a través del bosque,"4,99 €*","• Estrategia, Puzle",01-07-2021,"[El camino a través del bosque] is an exquisite and beautiful horizontal dissoling the riddle game, and we also designed a custom level to show players' creativity!"
Kickerinho World,"4,99 €*","• Acción, Arcade, Deportes, Football Fútbol, Simulación",01-07-2021,¡Conviértete en el campeón definitivo del fútbol freestyle en este increíble juego sobre trucos de balón!
Kirakira stars idol project Reika,"8,00 €4,00 €*",• Aventura,01-07-2021,"""Greetings, juniors. Nice to meet you."" A senior idol appears in front of Ai. What is the past behind that smile?"
Alphadia Genesis 2,"14,99 €*","• Aventura, Estrategia, Rol (RPG), Simulación",01-07-2021,¿Cual es la verdadera cara de la justicia? ¡Descúbrelo en un juego de rol fantástico!
Pigeon Fight,"4,99 €*","• Acción, Aventura, Estilo de vida, Fiesta",01-07-2021,"Have you ever seen a group of pigeons fighting for a bread? As a player, you become one of them!"
New York Mysteries: Secrets of the Mafia,"13,99 €*","• Aventura, Puzle",01-07-2021,Historia sobre las misteriosas desapariciones de niños y mafiosos.
Spider Solitaire Collection,"7,99 €*","• Estrategia, Puzle, Tablero",01-07-2021,20 popular Spider games in one
Marbles Rush,"4,99 €*","• Arcade, Disparos (Shooter), Puzle, Tablero",01-07-2021,"Enter the jungle and find treasures, traps and an amazing action packed three match puzzle game!"
Arcade Archives RAIDEN,"6,99 €*","• Arcade, Disparos (Shooter)",01-07-2021,Shoot down mighty enemies with the ultra high-altitude fighter-bomber RAIDEN!
Red White Yellow,"5,26 €*","• Música, Puzle",01-07-2021,A game that erases blocks and connects BGM.
Dragon Question,"3,00 €*","• Puzle, Rol (RPG)",01-07-2021,The best 'Edu-tainment' game which helps you improve your math skills!
Discolored,"9,99 €*","• Aventura, Puzle",01-07-2021,Un solitario restaurante de carretera en mitad del desierto. Los habitantes de la zona dicen que ha perdido todo el color. Te envían para investigarlo.
The Procession To Calvary,"14,99 €*","• Aventura, Otros",01-07-2021,Una correría totalmente absurda
A Tale of Synapse: The Chaos Theories,"14,99 €*","• Aventura, Educativo, Plataformas, Puzle",30-06-2021,"Ayuda a Sci y a Néro a salir de un mundo en el que la lógica, las matemáticas y los puzles serán tus aliados en un juego de plataformas en 2D con una estética única y mágica."
Merrily Perilly,"4,99 €*","• Aventura, Puzle, Rol (RPG), Simulación",30-06-2021,"Merrily Perilly is a game about crisis. Explore a dangerous, non-linear, crisis-filled world as you interact with the world and solve puzzles."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Car Driving Simulator,"19,99 €*","• Carreras, Deportes, Simulación",30-06-2021,Race kings rule the asphalt street on their furious and fast street cars! Try out our new street racing game and learn what real speed game is about!
VasterClaws 3:Dragon slayer of the God world,"24,76 €*","• Acción, Rol (RPG), Simulación",30-06-2021,Defeat the God-devouring Dragon in this deceptively simple squad building game!
Doki Doki Literature Club Plus!,"12,49 €*",• Otros,30-06-2021,Welcome to the club! Write poems for your crush and experience the terror of school romance in this critically-acclaimed psychological horror story.
Arkan: The dog adventurer,"4,99 €*","• Acción, Arcade, Plataformas",30-06-2021,"¡Una mezcla explosiva única de juego de plataformas y arkanoid! ¡Golpea la pelota! ¡Muévete, salta! ¡Rompe los ladrillos! ¡Destruye a los enemigos!"
Anna's Quest,"14,99 €*","• Aventura, Puzle",30-06-2021,Anna's Quest es un juego de clics y aventura con humor negro y puzles creativos.
Snake It 'Til You Make It,"5,99 €*","• Arcade, Fiesta",30-06-2021,Snake your way to victory!
Mina & Michi,"4,99 €*","• Acción, Aventura",30-06-2021,¡Derrota a tus enemigos en todas las estaciones del año con un estilo 2D retro!
Sky: Niños de la Luz,"0,00 €*","• Aventura, Rol (RPG)",29-06-2021,Vuela con amigos
Disgaea 6: Defiance of Destiny,"59,99 €*","• Estrategia, Rol (RPG)",29-06-2021,¡Los SRPGs se van a quedar boquiabiertos!
Zombies Ate My Neighbors and Ghoul Patrol,"14,99 €*","• Acción, Arcade, Disparos (Shooter)",29-06-2021,"¡Disfruta del juego de consola de 16 bits con el clásico de culto Zombies Ate My Neighbors y su secuela, Ghoul Patrol!"
Destroy All Humans!,"39,99 €*","• Acción, Aventura",29-06-2021,"¡Vuelve el clásico de culto! Aterroriza a los terrícolas de los 50 en el papel del alienígena Crypto-137. Recoge su ADN y derroca al Gobierno de EE. UU. en este remake del legendario juego de acción, aventura e invasiones extraterrestres."
FLATLAND Vol. 2,"3,99 €*","• Aventura, Estrategia, Plataformas, Puzle",29-06-2021,"The second game of the series FLATLAND. The game is summarize with run, jump, die, learn, repeat."
MARIOZZA COPS,"8,90 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",29-06-2021,Agentes Jasper y TJ están listos para una batalla fuera de control!
Onirike,"14,99 €*","• Aventura, Otros, Plataformas, Puzle",29-06-2021,"os sueños son alimentados por la ilusión, los tenemos desde pequeños y se llaman así hasta que se cumplen. Pero... ¿Te has preguntado alguna vez qué le sucede a los sueños que nunca se hacen realidad?"
Wood Block Escape Puzzles 2,"4,99 €*","• Educativo, Estrategia, Puzle, Tablero",28-06-2021,Challenging unblocking puzzles with different difficulties ranging from beginner to expert.
Mighty Aphid,"4,99 €*","• Acción, Plataformas",28-06-2021,
Rally Racer: Offroad Racing Car Game,"19,99 €*","• Carreras, Deportes, Simulación",26-06-2021,"Drive ahead, Drift & Overdrive! Most extreme offroad racing game!"
Bocce,"7,99 €*",• Deportes,26-06-2021,"La física ultrarrealista, los hermosos escenarios y las diferentes pelotas con sus propias características hacen de Bocce la simulación de Bocce/Petanque más realista disponible en la tienda."
Mario Golf: Super Rush,"59,99 €*","• Aventura, Fiesta, Golf",25-06-2021,¡Golpea la bola con tu familia y amigos en Mario Golf Super Rush!
